station,time,easting,northing,height,delta_east,delta_north,delta_height
GPS14,1/1/22 14:39,335406.6201,9752377.695,151.2111672,0.00068334,0.006270884,-0.010326266
GPS14,1/1/22 14:49,335406.6159,9752377.692,151.2060687,-0.003515128,0.002935246,-0.015424735
GPS14,1/1/22 14:59,335406.6165,9752377.693,151.2078207,-0.002932497,0.003924554,-0.013672759
GPS14,1/1/22 15:19,335406.6295,9752377.688,151.1958318,0.010111051,-0.001028467,-0.025661611
GPS14,1/1/22 15:49,335406.6106,9752377.692,151.1988516,-0.0087975,0.002758602,-0.022641789
GPS14,1/1/22 15:59,335406.6168,9752377.689,151.191557,-0.002633357,-4.85331E-05,-0.02993644
GPS14,1/1/22 16:09,335406.6167,9752377.687,151.1689618,-0.002712723,-0.002108227,-0.052531604
GPS14,1/1/22 16:19,335406.6175,9752377.693,151.1790494,-0.001902441,0.00372871,-0.042444042
GPS14,1/1/22 16:29,335406.6178,9752377.69,151.180232,-0.001638547,0.000644762,-0.041261449
GPS14,1/1/22 16:39,335406.6175,9752377.691,151.1804421,-0.001877611,0.001670483,-0.041051373
GPS14,1/1/22 16:49,335406.6186,9752377.688,151.1852186,-0.000808685,-0.001487406,-0.036274796
GPS14,1/1/22 16:59,335406.6258,9752377.69,151.1831079,0.006360196,0.000830337,-0.03838549
GPS14,1/1/22 17:09,335406.6246,9752377.688,151.1678266,0.005135831,-0.001182191,-0.053666779
GPS14,1/1/22 17:19,335406.6226,9752377.691,151.1737396,0.003209292,0.002113808,-0.04775387
GPS14,1/1/22 17:29,335406.6264,9752377.7,151.181007,0.00700327,0.011007633,-0.040486457
GPS14,1/1/22 18:39,335406.6257,9752377.672,151.2153759,0.006328148,-0.017290607,-0.006117539
GPS14,1/1/22 18:49,335406.6233,9752377.668,151.1731674,0.003886512,-0.0214644,-0.048326063
GPS14,1/1/22 18:59,335406.621,9752377.672,151.1722202,0.0016092,-0.017088057,-0.049273181
GPS14,1/1/22 19:09,335406.6298,9752377.678,151.1874383,0.010407435,-0.010600841,-0.034055124
GPS14,1/1/22 19:19,335406.6388,9752377.678,151.18159,0.019343105,-0.01134678,-0.039903448
GPS14,1/1/22 19:29,335406.636,9752377.683,151.1897782,0.016607831,-0.006394314,-0.031715175
GPS14,1/1/22 19:39,335406.6319,9752377.677,151.1814617,0.012453458,-0.012567567,-0.040031754
GPS14,1/1/22 19:59,335406.6284,9752377.683,151.2090671,0.009013277,-0.006160319,-0.012426303
GPS14,1/1/22 20:09,335406.6311,9752377.682,151.1981943,0.011680856,-0.007058779,-0.023299094
GPS14,1/1/22 20:29,335406.6204,9752377.688,151.1842314,0.000942256,-0.001034783,-0.037262065
GPS14,1/1/22 20:49,335406.6293,9752377.674,151.2042215,0.009834479,-0.01517695,-0.017271899
GPS14,1/1/22 20:59,335406.6209,9752377.682,151.1859381,0.001486406,-0.007442415,-0.035555279
GPS14,1/1/22 21:09,335406.6207,9752377.686,151.1782213,0.001314203,-0.003459038,-0.043272151
GPS14,1/1/22 21:19,335406.6264,9752377.681,151.192,0.006959106,-0.008117542,-0.029493379
GPS14,1/1/22 21:29,335406.6292,9752377.68,151.2038826,0.009819133,-0.008625308,-0.017610823
GPS14,1/1/22 21:39,335406.6356,9752377.683,151.2004534,0.016211653,-0.006416757,-0.02104001
GPS14,1/1/22 21:49,335406.6347,9752377.686,151.2033026,0.015264942,-0.002613032,-0.018190842
GPS14,1/1/22 21:59,335406.6377,9752377.685,151.2201464,0.018287442,-0.004346887,-0.001347039
GPS14,1/1/22 22:09,335406.6379,9752377.687,151.2148608,0.018505214,-0.002022404,-0.006632651
GPS14,1/1/22 22:19,335406.6341,9752377.687,151.206012,0.014715343,-0.001918841,-0.015481456
GPS14,1/1/22 22:29,335406.6364,9752377.69,151.197928,0.01694306,0.001164911,-0.023565386
GPS14,1/1/22 22:39,335406.6371,9752377.679,151.1858561,0.017632292,-0.009820728,-0.03563731
GPS14,1/1/22 22:49,335406.6382,9752377.683,151.1884061,0.018782549,-0.005731912,-0.033087303
GPS14,1/1/22 23:09,335406.6283,9752377.681,151.1864614,0.008900495,-0.008513579,-0.035032038
GPS14,1/1/22 23:19,335406.6289,9752377.679,151.1932988,0.009517413,-0.009797378,-0.028194657
GPS14,1/1/22 23:29,335406.622,9752377.684,151.18675,0.002542289,-0.005380243,-0.034743404
GPS14,1/1/22 23:39,335406.6228,9752377.681,151.1940486,0.003338065,-0.008342236,-0.027444799
GPS14,1/1/22 23:49,335406.6316,9752377.682,151.2014303,0.012149472,-0.007202454,-0.020063119
GPS14,1/1/22 23:59,335406.6329,9752377.679,151.1926497,0.013523197,-0.010531249,-0.028843726
GPS14,1/2/22 0:09,335406.6301,9752377.68,151.178176,0.010648092,-0.008786947,-0.043317451
GPS14,1/2/22 0:49,335406.6367,9752377.678,151.1885317,0.017325814,-0.011392899,-0.032961734
GPS14,1/2/22 0:59,335406.6343,9752377.679,151.1940933,0.014866202,-0.010388428,-0.027400106
GPS14,1/2/22 1:09,335406.6381,9752377.681,151.1953078,0.018713279,-0.008009424,-0.02618558
GPS14,1/2/22 1:19,335406.6396,9752377.679,151.194719,0.020183183,-0.009774018,-0.026774437
GPS14,1/2/22 1:29,335406.6381,9752377.681,151.1869285,0.018692222,-0.007666128,-0.034564881
GPS14,1/2/22 1:39,335406.6389,9752377.685,151.1901226,0.019518972,-0.003812516,-0.031370869
GPS14,1/2/22 1:49,335406.6366,9752377.686,151.1936299,0.017216479,-0.002705414,-0.027863496
GPS14,1/2/22 1:59,335406.6328,9752377.688,151.1782152,0.013378053,-0.001474058,-0.043278183
GPS14,1/2/22 2:09,335406.6342,9752377.687,151.1817171,0.014771367,-0.002553383,-0.039776325
GPS14,1/2/22 2:19,335406.6334,9752377.691,151.1802486,0.013959212,0.002172232,-0.041244857
GPS14,1/2/22 2:29,335406.6342,9752377.689,151.1826477,0.014761124,-0.000425393,-0.038845739
GPS14,1/2/22 2:39,335406.634,9752377.685,151.1812821,0.014529421,-0.003912641,-0.040211325
GPS14,1/2/22 2:49,335406.6347,9752377.686,151.1912241,0.01531655,-0.003359187,-0.030269276
GPS14,1/2/22 2:59,335406.6303,9752377.689,151.1816962,0.010898357,-1.66316E-05,-0.039797199
GPS14,1/2/22 3:09,335406.6281,9752377.689,151.1837734,0.008688109,-0.000391359,-0.03772007
GPS14,1/2/22 3:19,335406.6349,9752377.686,151.1799728,0.015452105,-0.002604432,-0.041520624
GPS14,1/2/22 3:29,335406.6274,9752377.683,151.1877132,0.008008154,-0.006357197,-0.03378023
GPS14,1/2/22 3:39,335406.6288,9752377.682,151.1943911,0.009370217,-0.006657002,-0.027102358
GPS14,1/2/22 3:49,335406.6303,9752377.677,151.1970805,0.010851303,-0.012239028,-0.024412951
GPS14,1/2/22 3:59,335406.6338,9752377.679,151.1908788,0.014426527,-0.009810798,-0.030614615
GPS14,1/2/22 4:09,335406.6342,9752377.677,151.1803281,0.014796443,-0.012056483,-0.041165323
GPS14,1/2/22 4:19,335406.6388,9752377.675,151.1735144,0.019421658,-0.014542017,-0.047979029
GPS14,1/2/22 4:29,335406.6363,9752377.679,151.1745356,0.016869881,-0.009734569,-0.046957846
GPS14,1/2/22 4:39,335406.6287,9752377.687,151.174306,0.009274002,-0.002193596,-0.047187448
GPS14,1/2/22 4:49,335406.6273,9752377.691,151.1762527,0.007867979,0.00226027,-0.045240696
GPS14,1/2/22 4:59,335406.6301,9752377.694,151.1892802,0.010705541,0.005321652,-0.032213213
GPS14,1/2/22 6:09,335406.6337,9752377.692,151.2089766,0.014245083,0.002442794,-0.012516796
GPS14,1/2/22 6:19,335406.6357,9752377.692,151.2264895,0.016250234,0.003338786,0.004996104
GPS14,1/2/22 6:29,335406.6379,9752377.691,151.2069657,0.018455044,0.001843367,-0.014527773
GPS14,1/2/22 6:39,335406.6384,9752377.684,151.2007379,0.019019379,-0.005114989,-0.020755515
GPS14,1/2/22 6:49,335406.6337,9752377.688,151.2059869,0.014302683,-0.001082724,-0.015506566
GPS14,1/2/22 7:29,335406.6372,9752377.692,151.1932934,0.017798985,0.002760129,-0.028200057
GPS14,1/2/22 7:39,335406.6353,9752377.686,151.1894704,0.015897837,-0.003311707,-0.032023051
GPS14,1/2/22 7:49,335406.6376,9752377.687,151.1835648,0.018172539,-0.002391318,-0.037928673
GPS14,1/2/22 7:59,335406.6359,9752377.685,151.1726435,0.016491304,-0.004537022,-0.04884991
GPS14,1/2/22 8:39,335406.6305,9752377.691,151.1893395,0.011099243,0.001863964,-0.032153911
GPS14,1/2/22 8:59,335406.638,9752377.684,151.2102016,0.018529423,-0.004917342,-0.011291822
GPS14,1/2/22 9:09,335406.6462,9752377.691,151.2124716,0.026779461,0.001443641,-0.009021826
GPS14,1/2/22 9:19,335406.6428,9752377.694,151.1990896,0.023343988,0.005080357,-0.022403857
GPS14,1/2/22 10:09,335406.6204,9752377.689,151.2009728,0.000972459,-0.000210231,-0.020520578
GPS14,1/2/22 10:19,335406.6211,9752377.692,151.1934834,0.001641097,0.002446849,-0.028010015
GPS14,1/2/22 10:29,335406.6274,9752377.689,151.1947812,0.008015306,-0.000311147,-0.02671225
GPS14,1/2/22 10:39,335406.6213,9752377.693,151.2040554,0.001868662,0.003528733,-0.017437997
GPS14,1/2/22 10:49,335406.6217,9752377.696,151.2034164,0.00227487,0.007128555,-0.018077012
GPS14,1/2/22 10:59,335406.62,9752377.698,151.2161537,0.000550505,0.008947589,-0.005339704
GPS14,1/2/22 11:09,335406.6121,9752377.688,151.2179461,-0.007271412,-0.000811405,-0.003547315
GPS14,1/2/22 11:19,335406.618,9752377.687,151.2080513,-0.001417535,-0.002386371,-0.013442102
GPS14,1/2/22 11:29,335406.6281,9752377.69,151.1908347,0.008722196,0.00049836,-0.03065873
GPS14,1/2/22 11:49,335406.6335,9752377.685,151.2047773,0.014052942,-0.003872536,-0.016716097
GPS14,1/2/22 11:59,335406.6325,9752377.683,151.1971153,0.01305952,-0.006253898,-0.024378172
GPS14,1/2/22 12:09,335406.6424,9752377.681,151.2189633,0.022989758,-0.007958608,-0.002530134
GPS14,1/2/22 12:19,335406.6427,9752377.672,151.2130101,0.023298041,-0.016695205,-0.008483361
GPS14,1/2/22 12:29,335406.6413,9752377.671,151.2183088,0.021874421,-0.018355893,-0.003184577
GPS14,1/2/22 12:39,335406.6428,9752377.673,151.1973998,0.023355654,-0.016571464,-0.024093661
GPS14,1/2/22 12:49,335406.6444,9752377.668,151.2048548,0.024998015,-0.020614926,-0.01663861
GPS14,1/2/22 12:59,335406.6492,9752377.669,151.2064695,0.029748621,-0.020487474,-0.015023916
GPS14,1/2/22 13:09,335406.6533,9752377.668,151.2043262,0.033855671,-0.021287641,-0.017167188
GPS14,1/2/22 13:19,335406.6469,9752377.67,151.1996915,0.027451944,-0.018643459,-0.021801909
GPS14,1/2/22 13:29,335406.6482,9752377.67,151.192308,0.028790741,-0.019064374,-0.029185445
GPS14,1/2/22 13:39,335406.6451,9752377.672,151.1999767,0.025656985,-0.017282255,-0.021516769
GPS14,1/2/22 13:49,335406.6461,9752377.673,151.188321,0.02668602,-0.01608751,-0.033172455
GPS14,1/2/22 13:59,335406.6448,9752377.677,151.2135676,0.025337125,-0.012417695,-0.007925803
GPS14,1/2/22 14:09,335406.6464,9752377.683,151.2080152,0.027028876,-0.005794805,-0.01347825
GPS14,1/2/22 14:19,335406.6513,9752377.681,151.2150504,0.031843128,-0.00760597,-0.006443064
GPS14,1/2/22 14:29,335406.6548,9752377.679,151.225687,0.035376145,-0.010145634,0.004193588
GPS14,1/2/22 14:39,335406.6523,9752377.675,151.2185356,0.032920067,-0.014154121,-0.002957819
GPS14,1/2/22 14:49,335406.6385,9752377.673,151.1904209,0.019036797,-0.016369477,-0.031072528
GPS14,1/2/22 15:09,335406.6346,9752377.68,151.1959373,0.015188764,-0.009346822,-0.025556099
GPS14,1/2/22 15:19,335406.6359,9752377.678,151.1931393,0.016501135,-0.010671508,-0.028354126
GPS14,1/2/22 15:29,335406.6409,9752377.678,151.182829,0.021440176,-0.011039382,-0.038664424
GPS14,1/2/22 15:39,335406.6356,9752377.673,151.1938167,0.016160312,-0.016163405,-0.027676766
GPS14,1/2/22 15:49,335406.6361,9752377.675,151.183455,0.016725309,-0.014244931,-0.038038421
GPS14,1/2/22 15:59,335406.6375,9752377.674,151.1878599,0.018055801,-0.015025362,-0.033633513
GPS14,1/2/22 16:09,335406.6399,9752377.676,151.1826903,0.02044189,-0.0130211,-0.038803144
GPS14,1/2/22 16:19,335406.643,9752377.67,151.1735797,0.023618598,-0.018780213,-0.047913716
GPS14,1/2/22 16:29,335406.6406,9752377.67,151.1728195,0.021178959,-0.019062696,-0.048673877
GPS14,1/2/22 16:39,335406.6468,9752377.672,151.1826993,0.027388064,-0.017294636,-0.038794124
GPS14,1/2/22 16:49,335406.6456,9752377.671,151.1822143,0.026155745,-0.018184524,-0.039279105
GPS14,1/2/22 16:59,335406.649,9752377.672,151.1907977,0.029563104,-0.017455408,-0.030695684
GPS14,1/2/22 17:09,335406.6511,9752377.671,151.2024996,0.031637779,-0.018385924,-0.01899386
GPS14,1/2/22 17:19,335406.6527,9752377.667,151.1980382,0.033324726,-0.022213945,-0.023455254
GPS14,1/2/22 17:29,335406.6514,9752377.665,151.182178,0.032011676,-0.024063909,-0.039315403
GPS14,1/2/22 17:39,335406.65,9752377.663,151.1784051,0.030565823,-0.026302632,-0.043088357
GPS14,1/2/22 17:49,335406.6467,9752377.667,151.1770759,0.027273384,-0.022437392,-0.044417538
GPS14,1/2/22 17:59,335406.6473,9752377.671,151.1899648,0.027899137,-0.017893685,-0.031528628
GPS14,1/2/22 18:09,335406.6482,9752377.675,151.2097051,0.028813406,-0.014373578,-0.011788342
GPS14,1/2/22 18:19,335406.6477,9752377.674,151.1949673,0.028272801,-0.015073264,-0.026526116
GPS14,1/2/22 18:29,335406.6464,9752377.672,151.1953402,0.026975991,-0.017229471,-0.026153236
GPS14,1/2/22 18:39,335406.645,9752377.669,151.1863281,0.02554641,-0.019612983,-0.035165356
GPS14,1/2/22 18:49,335406.6434,9752377.672,151.1840211,0.023964598,-0.016966185,-0.03747237
GPS14,1/2/22 18:59,335406.6434,9752377.673,151.1998012,0.023988859,-0.016062258,-0.02169225
GPS14,1/2/22 19:09,335406.6433,9752377.674,151.1980922,0.023850473,-0.015272738,-0.023401241
GPS14,1/2/22 19:19,335406.6447,9752377.671,151.1785746,0.025273391,-0.01828157,-0.042918845
GPS14,1/2/22 19:29,335406.6442,9752377.669,151.1713452,0.024768097,-0.020379137,-0.050148243
GPS14,1/2/22 19:39,335406.644,9752377.672,151.1721715,0.024569422,-0.016936997,-0.049321883
GPS14,1/2/22 19:49,335406.6498,9752377.671,151.1826354,0.030419595,-0.018442579,-0.038858035
GPS14,1/2/22 19:59,335406.6483,9752377.667,151.1755571,0.028896676,-0.022302834,-0.045936343
GPS14,1/2/22 20:09,335406.649,9752377.668,151.1802159,0.029547426,-0.02099121,-0.041277554
GPS14,1/2/22 20:19,335406.6461,9752377.669,151.1748294,0.026728782,-0.019875782,-0.04666401
GPS14,1/2/22 20:29,335406.6455,9752377.673,151.1800127,0.026116488,-0.016290013,-0.041480767
GPS14,1/2/22 20:39,335406.6483,9752377.675,151.1880045,0.028893788,-0.013760542,-0.033488876
GPS14,1/2/22 20:49,335406.6448,9752377.673,151.1894134,0.025382719,-0.015663447,-0.032080073
GPS14,1/2/22 20:59,335406.6458,9752377.671,151.1838241,0.026350432,-0.017865695,-0.037669298
GPS14,1/2/22 21:09,335406.648,9752377.673,151.1838859,0.028577427,-0.016086953,-0.037607545
GPS14,1/2/22 21:19,335406.6461,9752377.67,151.2009007,0.026651212,-0.019358307,-0.020592705
GPS14,1/2/22 21:29,335406.648,9752377.676,151.2047817,0.028554801,-0.013559226,-0.01671171
GPS14,1/2/22 21:39,335406.6524,9752377.672,151.2068203,0.032966823,-0.017037312,-0.014673118
GPS14,1/2/22 21:49,335406.6463,9752377.672,151.2058556,0.026861777,-0.016839113,-0.015637849
GPS14,1/2/22 21:59,335406.6521,9752377.676,151.1983275,0.032691357,-0.013222139,-0.023165957
GPS14,1/2/22 22:09,335406.654,9752377.671,151.1651192,0.03456596,-0.018351834,-0.0563742
GPS14,1/2/22 22:19,335406.654,9752377.669,151.1576886,0.034624264,-0.019731387,-0.063804775
GPS14,1/2/22 22:29,335406.6508,9752377.675,151.1739812,0.031414976,-0.014405359,-0.047512227
GPS14,1/2/22 22:39,335406.6487,9752377.67,151.1891474,0.029272992,-0.019080225,-0.032346036
GPS14,1/2/22 22:49,335406.6498,9752377.673,151.1914677,0.030411674,-0.016341405,-0.030025758
GPS14,1/2/22 22:59,335406.6472,9752377.67,151.1887034,0.027805148,-0.019166144,-0.032790064
GPS14,1/2/22 23:09,335406.6508,9752377.672,151.1851818,0.031394965,-0.017051619,-0.036311598
GPS14,1/2/22 23:19,335406.648,9752377.673,151.1856444,0.028550691,-0.015675213,-0.035848983
GPS14,1/2/22 23:29,335406.6412,9752377.671,151.1872853,0.021735514,-0.018127143,-0.034208084
GPS14,1/2/22 23:39,335406.6473,9752377.668,151.1940102,0.027888728,-0.02109226,-0.027483183
GPS14,1/2/22 23:49,335406.6494,9752377.669,151.205197,0.030012823,-0.019965069,-0.016296449
GPS14,1/2/22 23:59,335406.6432,9752377.671,151.1860613,0.023766206,-0.017781733,-0.035432159
GPS14,1/3/22 0:09,335406.6476,9752377.669,151.186961,0.028191901,-0.020032909,-0.034532407
GPS14,1/3/22 0:39,335406.6579,9752377.673,151.1751911,0.03843714,-0.016490219,-0.046302277
GPS14,1/3/22 0:49,335406.65,9752377.677,151.1739047,0.030608557,-0.011945168,-0.047588699
GPS14,1/3/22 0:59,335406.65,9752377.683,151.1750392,0.030584374,-0.005982993,-0.046454231
GPS14,1/3/22 1:19,335406.3945,9752377.624,151.3911382,-0.224900206,-0.065332711,0.169644762
GPS14,1/3/22 2:09,335406.6507,9752377.673,151.1600233,0.031253771,-0.016385246,-0.061470124
GPS14,1/3/22 2:19,335406.6502,9752377.669,151.1858608,0.03074222,-0.020046536,-0.035632648
GPS14,1/3/22 2:29,335406.6406,9752377.678,151.1923693,0.021207117,-0.010722475,-0.029124118
GPS14,1/3/22 2:39,335406.6489,9752377.677,151.2037646,0.029492433,-0.012285098,-0.017728818
GPS14,1/3/22 2:49,335406.6526,9752377.675,151.1951048,0.033189259,-0.014471959,-0.026388666
GPS14,1/3/22 2:59,335406.6497,9752377.673,151.1937108,0.03028979,-0.015865788,-0.027782584
GPS14,1/3/22 3:09,335406.6516,9752377.674,151.2029656,0.032227479,-0.015181612,-0.018527782
GPS14,1/3/22 3:19,335406.6555,9752377.669,151.1940187,0.036099802,-0.020132747,-0.027474717
GPS14,1/3/22 3:29,335406.655,9752377.665,151.2058241,0.035533364,-0.023587646,-0.015669375
GPS14,1/3/22 3:39,335406.6567,9752377.668,151.2029538,0.03727456,-0.020742685,-0.018539669
GPS14,1/3/22 3:49,335406.6558,9752377.669,151.1951773,0.03640722,-0.019744597,-0.026316156
GPS14,1/3/22 3:59,335406.66,9752377.668,151.1952875,0.040537009,-0.020909097,-0.026205929
GPS14,1/3/22 4:09,335406.6617,9752377.657,151.2017249,0.04225728,-0.032116678,-0.019768511
GPS14,1/3/22 4:19,335406.6558,9752377.657,151.1646227,0.036365484,-0.032435572,-0.056870676
GPS14,1/3/22 6:09,335406.647,9752377.674,151.2166792,0.02755561,-0.015025925,-0.004814189
GPS14,1/3/22 6:49,335406.6465,9752377.661,151.1785298,0.027054487,-0.028255139,-0.042963581
GPS14,1/3/22 6:59,335406.6477,9752377.655,151.160406,0.028318574,-0.033960056,-0.061087378
GPS14,1/3/22 7:09,335406.6542,9752377.653,151.1537917,0.03477896,-0.036420595,-0.067701712
GPS14,1/3/22 7:19,335406.6578,9752377.662,151.1809571,0.038350666,-0.026594749,-0.040536302
GPS14,1/3/22 7:29,335406.6624,9752377.663,151.1766724,0.043019568,-0.026146619,-0.04482104
GPS14,1/3/22 7:39,335406.6599,9752377.661,151.1831646,0.040453045,-0.028448919,-0.038328823
GPS14,1/3/22 7:49,335406.6581,9752377.662,151.1881349,0.038653806,-0.026955225,-0.033358566
GPS14,1/3/22 8:29,335406.6605,9752377.667,151.1784556,0.041049828,-0.022355529,-0.043037796
GPS14,1/3/22 8:39,335406.6606,9752377.668,151.1908022,0.041171343,-0.021455957,-0.030691187
GPS14,1/3/22 8:49,335406.6642,9752377.671,151.1820327,0.044773101,-0.018416842,-0.039460709
GPS14,1/3/22 8:59,335406.664,9752377.675,151.1758809,0.044548547,-0.014403874,-0.045612572
GPS14,1/3/22 9:09,335406.6639,9752377.673,151.190042,0.044526112,-0.01654752,-0.031451376
GPS14,1/3/22 9:19,335406.6641,9752377.669,151.1904341,0.044651897,-0.020002352,-0.03105935
GPS14,1/3/22 9:29,335406.6631,9752377.671,151.1966282,0.043640486,-0.017762482,-0.024865177
GPS14,1/3/22 9:39,335406.6651,9752377.668,151.1907002,0.045698699,-0.021256946,-0.030793236
GPS14,1/3/22 9:49,335406.6589,9752377.675,151.1929669,0.039505631,-0.01422815,-0.028526509
GPS14,1/3/22 9:59,335406.6534,9752377.671,151.1978584,0.03400693,-0.018352194,-0.023634981
GPS14,1/3/22 10:09,335406.6516,9752377.668,151.2028737,0.032210643,-0.021356933,-0.018619675
GPS14,1/3/22 10:19,335406.65,9752377.666,151.1896521,0.030626403,-0.022802927,-0.031841325
GPS14,1/3/22 10:29,335406.6525,9752377.665,151.1833663,0.033122772,-0.023669915,-0.038127117
GPS14,1/3/22 10:39,335406.6506,9752377.665,151.1802785,0.031154526,-0.023627767,-0.041214915
GPS14,1/3/22 10:49,335406.6606,9752377.665,151.1660754,0.041206512,-0.023716617,-0.055418007
GPS14,1/3/22 10:59,335406.6487,9752377.669,151.1773664,0.029234136,-0.020551251,-0.044127044
GPS14,1/3/22 11:09,335406.6506,9752377.669,151.1751784,0.031182086,-0.020308813,-0.046315067
GPS14,1/3/22 11:19,335406.6464,9752377.667,151.1884779,0.026943024,-0.021754447,-0.03301551
GPS14,1/3/22 11:29,335406.6541,9752377.671,151.1861121,0.034684064,-0.018301012,-0.03538136
GPS14,1/3/22 11:39,335406.656,9752377.67,151.183961,0.036583108,-0.01904764,-0.037532402
GPS14,1/3/22 11:49,335406.6562,9752377.663,151.1862316,0.03676763,-0.025637329,-0.035261864
GPS14,1/3/22 11:59,335406.6505,9752377.656,151.1961365,0.031077828,-0.032620072,-0.025356934
GPS14,1/3/22 12:09,335406.6589,9752377.653,151.1937452,0.039527897,-0.036279678,-0.027748235
GPS14,1/3/22 12:19,335406.6599,9752377.659,151.202369,0.040443234,-0.030410226,-0.019124401
GPS14,1/3/22 12:29,335406.6611,9752377.66,151.2103056,0.041640559,-0.028692584,-0.011187821
GPS14,1/3/22 12:39,335406.6639,9752377.66,151.2005597,0.044469061,-0.028903816,-0.020933773
GPS14,1/3/22 12:49,335406.6655,9752377.653,151.207097,0.046126364,-0.035816517,-0.01439643
GPS14,1/3/22 12:59,335406.6669,9752377.658,151.2062003,0.047469944,-0.030813884,-0.015293087
GPS14,1/3/22 13:09,335406.6662,9752377.659,151.1939883,0.046809392,-0.03024566,-0.027505124
GPS14,1/3/22 13:19,335406.6626,9752377.66,151.1958755,0.043152542,-0.028708709,-0.025617933
GPS14,1/3/22 13:29,335406.6608,9752377.662,151.1960941,0.041425063,-0.026644751,-0.025399342
GPS14,1/3/22 13:39,335406.6606,9752377.666,151.2024757,0.041146579,-0.023374751,-0.019017747
GPS14,1/3/22 13:49,335406.6579,9752377.668,151.2181106,0.038527452,-0.020914946,-0.003382852
GPS14,1/3/22 13:59,335406.6608,9752377.668,151.2206178,0.041353106,-0.020705022,-0.000875655
GPS14,1/3/22 14:19,335406.6673,9752377.662,151.2013811,0.047926778,-0.027116051,-0.020112347
GPS14,1/3/22 14:29,335406.6645,9752377.658,151.1825044,0.04512822,-0.031565165,-0.038988986
GPS14,1/3/22 14:39,335406.6673,9752377.657,151.169584,0.047895907,-0.032014145,-0.051909454
GPS14,1/3/22 14:49,335406.666,9752377.657,151.1806697,0.046603347,-0.032319598,-0.040823773
GPS14,1/3/22 14:59,335406.6621,9752377.663,151.1887845,0.04269832,-0.026536979,-0.032708972
GPS14,1/3/22 15:09,335406.6635,9752377.66,151.1847634,0.044034118,-0.028786104,-0.03673003
